#,Tracker,Stato,Priorità,Oggetto,Assegnato a,Categoria,Inizio,Scadenza,Tempo stimato,Tempo impiegato,Creato,Chiuso,Caratteristica di riferimento,Descrizione
359383,To-Do,Closed,Normal,"java:S3599:  ""Use another way to initialize this instance.""",Maurizio Prudente,MINOR,2022-12-10,2022-12-15,"0,08","0,38",2022-12-10 16:33,2022-12-11 20:17,Reliability (Bugs),Key: AYSMG9zxmuymsPtOyEd4 Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/asm/TypeCollector.java - startLine: 12;startOffset: 88;endOffset: 5;endLine: 23
359384,To-Do,Closed,Normal,"java:S2184:  ""Cast one of the operands of this subtraction operation to a long.""",Maurizio Prudente,MINOR,2022-12-10,2022-12-15,"0,08","0,03",2022-12-10 16:33,2022-12-11 19:19,Reliability (Bugs),Key: AYSMG9pxmuymsPtOyEH5 Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/JSONLexerBase.java - startLine: 2350;startOffset: 28;endOffset: 29;endLine: 2350
359385,To-Do,Closed,Normal,"java:S2184:  ""Cast one of the operands of this subtraction operation to a long.""",Maurizio Prudente,MINOR,2022-12-10,2022-12-15,"0,08","0,03",2022-12-10 16:33,2022-12-11 19:12,Reliability (Bugs),Key: AYSMG9pxmuymsPtOyEH6 Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/JSONLexerBase.java - startLine: 2430;startOffset: 28;endOffset: 29;endLine: 2430
359386,To-Do,Closed,Normal,"java:S2184:  ""Cast one of the operands of this subtraction operation to a long.""",Maurizio Prudente,MINOR,2022-12-10,2022-12-15,"0,08","0,03",2022-12-10 16:33,2022-12-11 19:06,Reliability (Bugs),Key: AYSMG9pxmuymsPtOyEH7 Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/JSONLexerBase.java - startLine: 2534;startOffset: 34;endOffset: 35;endLine: 2534
359387,To-Do,Closed,Normal,"java:S2184:  ""Cast one of the operands of this subtraction operation to a long.""",Maurizio Prudente,MINOR,2022-12-10,2022-12-15,"0,08","0,03",2022-12-10 16:33,2022-12-11 19:06,Reliability (Bugs),Key: AYSMG9pxmuymsPtOyEH8 Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/JSONLexerBase.java - startLine: 2699;startOffset: 34;endOffset: 35;endLine: 2699
359388,To-Do,Closed,Normal,"java:S2184:  ""Cast one of the operands of this subtraction operation to a long.""",Maurizio Prudente,MINOR,2022-12-10,2022-12-15,"0,08","0,03",2022-12-10 16:33,2022-12-11 18:48,Reliability (Bugs),Key: AYSMG9pxmuymsPtOyEH9 Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/JSONLexerBase.java - startLine: 2852;startOffset: 34;endOffset: 35;endLine: 2852
359389,To-Do,Closed,Normal,"java:S2184:  ""Cast one of the operands of this subtraction operation to a long.""",Maurizio Prudente,MINOR,2022-12-10,2022-12-15,"0,08","0,03",2022-12-10 16:33,2022-12-11 18:43,Reliability (Bugs),Key: AYSMG9pxmuymsPtOyEH- Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/JSONLexerBase.java - startLine: 3493;startOffset: 34;endOffset: 35;endLine: 3493
359390,To-Do,Closed,Normal,"java:S2184:  ""Cast one of the operands of this subtraction operation to a long.""",Maurizio Prudente,MINOR,2022-12-10,2022-12-15,"0,08","0,03",2022-12-10 16:33,2022-12-11 18:36,Reliability (Bugs),Key: AYSMG9pxmuymsPtOyEH_ Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/JSONLexerBase.java - startLine: 3830;startOffset: 34;endOffset: 35;endLine: 3830
359391,To-Do,Closed,Normal,"java:S2184:  ""Cast one of the operands of this subtraction operation to a long.""",Maurizio Prudente,MINOR,2022-12-10,2022-12-15,"0,08","0,03",2022-12-10 16:33,2022-12-11 18:29,Reliability (Bugs),Key: AYSMG9pxmuymsPtOyEIA Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/JSONLexerBase.java - startLine: 4024;startOffset: 33;endOffset: 34;endLine: 4024
359392,To-Do,Closed,Normal,"java:S2184:  ""Cast one of the operands of this subtraction operation to a long.""",Maurizio Prudente,MINOR,2022-12-10,2022-12-15,"0,08","0,03",2022-12-10 16:33,2022-12-11 18:23,Reliability (Bugs),Key: AYSMG9pxmuymsPtOyEIB Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/JSONLexerBase.java - startLine: 4151;startOffset: 33;endOffset: 34;endLine: 4151
359393,To-Do,Closed,Normal,"java:S2184:  ""Cast one of the operands of this subtraction operation to a long.""",Maurizio Prudente,MINOR,2022-12-10,2022-12-15,"0,08","0,03",2022-12-10 16:33,2022-12-11 18:23,Reliability (Bugs),Key: AYSMG9qzmuymsPtOyEOi Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/JSONScanner.java - startLine: 1133;startOffset: 28;endOffset: 29;endLine: 1133
359394,To-Do,Closed,Normal,"java:S2184:  ""Cast one of the operands of this subtraction operation to a long.""",Maurizio Prudente,MINOR,2022-12-10,2022-12-15,"0,08","0,03",2022-12-10 16:33,2022-12-11 18:10,Reliability (Bugs),Key: AYSMG9qzmuymsPtOyEOj Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/JSONScanner.java - startLine: 1473;startOffset: 23;endOffset: 24;endLine: 1473
