Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S2975:  ""Remove this clone implementation; use a copy constructor or copy factory instead.""",BLOCKER,30min,Key: AYSMG92UmuymsPtOyEju Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/JSONArray.java - startLine: 461;startOffset: 18;endOffset: 23;endLine: 461,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2975:  ""Remove this clone implementation; use a copy constructor or copy factory instead.""",BLOCKER,30min,Key: AYSMG927muymsPtOyEkW Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/JSONObject.java - startLine: 401;startOffset: 22;endOffset: 27;endLine: 401,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3516:  ""Refactor this method to not always return the same value.""",BLOCKER,4min,Key: AYSMG91nmuymsPtOyEgN Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/JSONPath.java - startLine: 3604;startOffset: 19;endOffset: 31;endLine: 3604,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2437:  ""Remove this silly bit operation.""",BLOCKER,5min,Key: AYSMG9znmuymsPtOyEdv Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/asm/Type.java - startLine: 42;startOffset: 97;endOffset: 98;endLine: 42,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1845:  ""Rename field jsonType to prevent any misunderstanding/clash with field JSONType.""",BLOCKER,10min,Key: AYSMG9zxmuymsPtOyEd3 Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/asm/TypeCollector.java - startLine: 31;startOffset: 22;endOffset: 30;endLine: 31,Maintenance (Code Smells)
To-Do,New,Normal,"java:S128:  ""End this switch case with an unconditional break return or throw statement.""",BLOCKER,10min,Key: AYSMG9pxmuymsPtOyEIK Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/JSONLexerBase.java - startLine: 339;startOffset: 16;endOffset: 40;endLine: 339,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2178:  ""Correct this & to &&.""",BLOCKER,5min,Key: AYSMG9qJmuymsPtOyEMB Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/ParserConfig.java - startLine: 965;startOffset: 43;endOffset: 44;endLine: 965,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1845:  ""Rename method writeDirect to prevent any misunderstanding/clash with field writeDirect.""",BLOCKER,10min,Key: AYSMG9ldmuymsPtOyD__ Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/SerializeFilterable.java - startLine: 266;startOffset: 22;endOffset: 33;endLine: 266,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2387:  ""keySet is the name of a field in AbstractMap.""",BLOCKER,5min,Key: AYSMG9xRmuymsPtOyEZJ Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/AntiCollisionHashMap.java - startLine: 13;startOffset: 30;endOffset: 36;endLine: 13,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2387:  ""values is the name of a field in AbstractMap.""",BLOCKER,5min,Key: AYSMG9xRmuymsPtOyEZK Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/AntiCollisionHashMap.java - startLine: 14;startOffset: 37;endOffset: 43;endLine: 14,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2975:  ""Remove this clone implementation; use a copy constructor or copy factory instead.""",BLOCKER,30min,Key: AYSMG9xRmuymsPtOyEZo Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/AntiCollisionHashMap.java - startLine: 598;startOffset: 18;endOffset: 23;endLine: 598,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1845:  ""Rename field digits to prevent any misunderstanding/clash with field DIGITS.""",BLOCKER,10min,Key: AYSMG9yjmuymsPtOyEbW Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/IOUtils.java - startLine: 325;startOffset: 24;endOffset: 30;endLine: 325,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1845:  ""Rename field hashCode to prevent any misunderstanding/clash with method hashCode defined in superclass java.lang.Object.""",BLOCKER,10min,Key: AYSMG9x7muymsPtOyEay Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/IdentityHashMap.java - startLine: 95;startOffset: 27;endOffset: 35;endLine: 95,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2093:  ""Change this try to a try-with-resources.""",CRITICAL,15min,Key: AYSMG92FmuymsPtOyEjF Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/JSON.java - startLine: 452;startOffset: 16;endOffset: 19;endLine: 452,Maintenance (Code Smells)
