Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,java:S117:  "Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",MINOR,2min,Key: AYeaY2g7EvMYHQxpIBId Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/JSONPath.java - startLine: 2874;startOffset: 16;endOffset: 26;endLine: 2874,Maintenance (Code Smells)
To-Do,New,Normal,java:S1124:  "Reorder the modifiers to comply with the Java Language Specification.",MINOR,2min,Key: AYeaY2g7EvMYHQxpIBIk Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/JSONPath.java - startLine: 3933;startOffset: 10;endOffset: 16;endLine: 3933,Maintenance (Code Smells)
To-Do,New,Normal,java:S1124:  "Reorder the modifiers to comply with the Java Language Specification.",MINOR,2min,Key: AYeaY2g7EvMYHQxpIBIl Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/JSONPath.java - startLine: 3934;startOffset: 10;endOffset: 16;endLine: 3934,Maintenance (Code Smells)
To-Do,New,Normal,java:S1659:  "Declare len3 on a separate line.",MINOR,2min,Key: AYeaY2FgEvMYHQxpIBIU Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/JSONScanner.java - startLine: 115;startOffset: 33;endOffset: 37;endLine: 115,Maintenance (Code Smells)
To-Do,New,Normal,java:S117:  "Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",MINOR,2min,Key: AYeaY2FgEvMYHQxpIBIS Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/JSONScanner.java - startLine: 731;startOffset: 70;endOffset: 72;endLine: 731,Maintenance (Code Smells)
To-Do,New,Normal,java:S117:  "Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",MINOR,2min,Key: AYeaY2FgEvMYHQxpIBIT Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/JSONScanner.java - startLine: 731;startOffset: 61;endOffset: 63;endLine: 731,Maintenance (Code Smells)
To-Do,New,Normal,java:S100:  "Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",MINOR,5min,Key: AYeaY181EvMYHQxpIBIM Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/parser/deserializer/ASMDeserializerFactory.java - startLine: 1309;startOffset: 17;endOffset: 21;endLine: 1309,Maintenance (Code Smells)
To-Do,New,Normal,java:S2065:  "Remove the transient modifier from this field.",MINOR,2min,Key: AYeaY1gnEvMYHQxpIBHu Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/JavaBeanSerializer.java - startLine: 52;startOffset: 12;endOffset: 21;endLine: 52,Maintenance (Code Smells)
To-Do,New,Normal,java:S1126:  "Replace this if-then-else statement by a single return statement.",MINOR,2min,Key: AYeaY1l6EvMYHQxpIBHv Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/serializer/MapSerializer.java - startLine: 232;startOffset: 8;endOffset: 10;endLine: 232,Maintenance (Code Smells)
To-Do,New,Normal,java:S117:  "Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",MINOR,2min,Key: AYeaY2SwEvMYHQxpIBIY Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/util/TypeUtils.java - startLine: 2688;startOffset: 27;endOffset: 52;endLine: 2688,Maintenance (Code Smells)
To-Do,New,Normal,java:S1905:  "Remove this unnecessary cast to JSONArray.",MINOR,5min,Key: AYc2w_7aMyvAsEzjt7sc Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/JSONPath.java - startLine: 2270;startOffset: 35;endOffset: 46;endLine: 2270,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'com.alibaba.fastjson.parser.Feature'.",MINOR,2min,Key: AYcswT-26T396UwZHB4X Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/support/jaxrs/FastJsonProvider.java - startLine: 5;startOffset: 7;endOffset: 42;endLine: 5,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'com.alibaba.fastjson.parser.ParserConfig'.",MINOR,2min,Key: AYcswT_S6T396UwZHB4Y Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/support/retrofit/Retrofit2ConverterFactory.java - startLine: 5;startOffset: 7;endOffset: 47;endLine: 5,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.springframework.http.HttpInputMessage'.",MINOR,2min,Key: AYcswT9D6T396UwZHB4R Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/support/spring/FastJsonHttpMessageConverter4.java - startLine: 3;startOffset: 7;endOffset: 48;endLine: 3,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.springframework.http.HttpOutputMessage'.",MINOR,2min,Key: AYcswT9D6T396UwZHB4S Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/support/spring/FastJsonHttpMessageConverter4.java - startLine: 4;startOffset: 7;endOffset: 49;endLine: 4,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.springframework.http.MediaType'.",MINOR,2min,Key: AYcswT9D6T396UwZHB4T Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/support/spring/FastJsonHttpMessageConverter4.java - startLine: 5;startOffset: 7;endOffset: 41;endLine: 5,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.springframework.http.converter.HttpMessageNotReadableException'.",MINOR,2min,Key: AYcswT9D6T396UwZHB4U Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/support/spring/FastJsonHttpMessageConverter4.java - startLine: 6;startOffset: 7;endOffset: 73;endLine: 6,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.springframework.http.converter.HttpMessageNotWritableException'.",MINOR,2min,Key: AYcswT9D6T396UwZHB4V Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/support/spring/FastJsonHttpMessageConverter4.java - startLine: 7;startOffset: 7;endOffset: 73;endLine: 7,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'java.io.IOException'.",MINOR,2min,Key: AYcswT9D6T396UwZHB4W Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/support/spring/FastJsonHttpMessageConverter4.java - startLine: 9;startOffset: 7;endOffset: 26;endLine: 9,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.springframework.http.HttpInputMessage'.",MINOR,2min,Key: AYcswT8Z6T396UwZHB4L Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/support/spring/FastJsonpHttpMessageConverter4.java - startLine: 3;startOffset: 7;endOffset: 48;endLine: 3,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.springframework.http.HttpOutputMessage'.",MINOR,2min,Key: AYcswT8Z6T396UwZHB4M Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/support/spring/FastJsonpHttpMessageConverter4.java - startLine: 4;startOffset: 7;endOffset: 49;endLine: 4,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.springframework.http.MediaType'.",MINOR,2min,Key: AYcswT8Z6T396UwZHB4N Path: com.alibaba:fastjsonMW:src/main/java/com/alibaba/fastjson/support/spring/FastJsonpHttpMessageConverter4.java - startLine: 5;startOffset: 7;endOffset: 41;endLine: 5,Maintenance (Code Smells)
